Expected,Real,Percentage
1,1.48103424,48.103424000000004
2,2.50368104,25.184052
3,3.48657799,16.219266333333326
4,4.50490924,12.622730999999998
5,5.49142255,9.828451000000005
6,6.50798024,8.466337333333328
7,7.48749674,6.964239142857154
8,8.49669933,6.208741625000003
9,9.48065311,5.340590111111121
10,10.51642090,5.1642090000000085
10,10.49685370,4.968537000000017
20,20.49514500,2.4757249999999953
30,30.44950970,1.4983656666666567
40,40.28949550,0.7237387500000025
50,50.29545260,0.5909052000000026
60,60.15548380,0.25913966666666344
70,70.17587180,0.25124542857142274
80,80.63011600,0.7876449999999924
90,90.64047900,0.7116433333333338
100,100.54825000,0.5482500000000057
100,100.54588300,0.5458830000000026
200,201.07715500,0.5385774999999926
300,301.11686900,0.37228966666666974
400,401.48967400,0.37241850000000465
500,501.53589400,0.3071787999999964
600,602.06130300,0.34355049999998943
700,702.10979900,0.3013998571428589
800,798.57387400,-0.17826574999999512
900,898.61416800,-0.15398133333334174
1000,1000.62394000,0.06239399999998785
1000,1000.62379000,0.06237899999999019
2000,2002.84020000,0.14201000000000352
3000,3003.06506000,0.10216866666665769
4000,4007.14014000,0.1785034999999935
5000,5007.37903000,0.14758059999999684
6000,6009.49730000,0.15828833333333403
7000,7009.72466000,0.13892371428572137
8000,7992.44987000,-0.09437662499999222
9000,8992.68144000,-0.08131733333333058
10000,9999.37833000,-0.006216700000005737
10000,9999.37465000,-0.006253499999997469
20000,20044.47680000,0.2223840000000088
30000,30050.47230000,0.1682410000000134
40000,40070.05010000,0.17512525000000778
50000,50076.07290000,0.1521458000000031
60000,60113.75060000,0.1895843333333369
70000,70119.80810000,0.17115442857142948
80000,80048.73300000,0.06091624999999823
90000,90054.68050000,0.06075611111111545
100000,99763.74710000,-0.2362529000000113
100000,99763.67060000,-0.23632940000000158
200000,200091.76000000,0.04588000000000925
300000,299856.18100000,-0.04793966666667426
400000,400496.44500000,0.124111250000003
500000,500260.47900000,0.05209580000000713
600000,600585.61400000,0.09760233333331314
700000,700348.60900000,0.049801285714301535
800000,800973.34500000,0.12166812500000734
900000,900735.16500000,0.08168500000000911
1000000,999933.66700000,-0.006633300000002951
1000000,999933.59100000,-0.00664089999999895
2000000,2002353.16000000,0.11765799999998716
3000000,3001201.11000000,0.04003699999999277
4000000,2002252.16000000,-49.943696
5000000,4999598.16000000,-0.008036799999999733
6000000,5998504.87000000,-0.02491883333333167
7000000,7001633.41000000,0.023334428571430976
8000000,8000431.79000000,0.0053973750000047005
9000000,7001621.02000000,-22.2042108888889
10000000,10084914.70000000,0.8491469999999834
10000000,10084806.00000000,0.8480599999999949
20000000,20419649.20000000,2.0982459999999925
30000000,30500776.40000000,1.669254666666653
40000000,40133434.80000000,0.33358699999999075
50000000,49264104.90000000,-1.4717902000000005
60000000,59337996.50000000,-1.1033391666666614
70000000,69688966.00000000,-0.44433428571428735
80000000,79729701.30000000,-0.33787337500000847
90000000,89352302.30000000,-0.7196641111111179
100000000,99427668.00000000,-0.5723319999999976
